Weight	Self Weight		Symbol Name
2.00 ms    0.0%	2.00 ms	 	           std::__1::__compressed_pair<short*, std::__1::allocator<short>>::second[abi:v160006]()
1.00 ms    0.0%	1.00 ms	 	     std::__1::vector<float, std::__1::allocator<float>>::operator[][abi:v160006](unsigned long)
1.00 ms    0.0%	1.00 ms	 	     std::__1::vector<short, std::__1::allocator<short>>::operator[][abi:v160006](unsigned long)
20.00 ms    0.5%	0 s	 	    Convolve::WavFile::~WavFile()
20.00 ms    0.5%	0 s	 	     Convolve::WavFile::~WavFile()
20.00 ms    0.5%	0 s	 	      std::__1::vector<float, std::__1::allocator<float>>::~vector[abi:v160006]()
20.00 ms    0.5%	0 s	 	       std::__1::vector<float, std::__1::allocator<float>>::~vector[abi:v160006]()
20.00 ms    0.5%	0 s	 	        std::__1::vector<float, std::__1::allocator<float>>::__destroy_vector::operator()[abi:v160006]()
19.00 ms    0.5%	0 s	 	         std::__1::vector<float, std::__1::allocator<float>>::__clear[abi:v160006]()
19.00 ms    0.5%	8.00 ms	 	          std::__1::vector<float, std::__1::allocator<float>>::__base_destruct_at_end[abi:v160006](float*)
7.00 ms    0.1%	4.00 ms	 	           std::__1::vector<float, std::__1::allocator<float>>::__alloc[abi:v160006]()
3.00 ms    0.0%	3.00 ms	 	            std::__1::__compressed_pair<float*, std::__1::allocator<float>>::second[abi:v160006]()
2.00 ms    0.0%	1.00 ms	 	           void std::__1::allocator_traits<std::__1::allocator<float>>::destroy[abi:v160006]<float, void>(std::__1::allocator<float>&, float*)
1.00 ms    0.0%	1.00 ms	 	            std::__1::allocator<float>::destroy[abi:v160006](float*)
2.00 ms    0.0%	2.00 ms	 	           float* std::__1::__to_address[abi:v160006]<float>(float*)
1.00 ms    0.0%	0 s	 	         std::__1::allocator_traits<std::__1::allocator<float>>::deallocate[abi:v160006](std::__1::allocator<float>&, float*, unsigned long)
1.00 ms    0.0%	0 s	 	          std::__1::allocator<float>::deallocate[abi:v160006](float*, unsigned long)
1.00 ms    0.0%	0 s	 	           std::__1::__libcpp_deallocate[abi:v160006](void*, unsigned long, unsigned long)
1.00 ms    0.0%	0 s	 	            void std::__1::__do_deallocate_handle_size[abi:v160006]<>(void*, unsigned long)
1.00 ms    0.0%	0 s	 	             void std::__1::__libcpp_operator_delete[abi:v160006]<void*>(void*)
1.00 ms    0.0%	0 s	 	              free_medium
1.00 ms    0.0%	0 s	 	               mvm_madvise_free
1.00 ms    0.0%	1.00 ms	 	                madvise
1.00 ms    0.0%	0 s	 	   dyld4::prepare(dyld4::APIs&, dyld3::MachOAnalyzer const*)
1.00 ms    0.0%	0 s	 	    dyld4::APIs::runAllInitializersForMain()
1.00 ms    0.0%	0 s	 	     dyld4::PrebuiltLoader::runInitializers(dyld4::RuntimeState&) const
1.00 ms    0.0%	0 s	 	      dyld4::Loader::findAndRunAllInitializers(dyld4::RuntimeState&) const
1.00 ms    0.0%	0 s	 	       dyld3::MachOAnalyzer::forEachInitializer(Diagnostics&, dyld3::MachOAnalyzer::VMAddrConverter const&, void (unsigned int) block_pointer, void const*) const
1.00 ms    0.0%	0 s	 	        dyld3::MachOFile::forEachSection(void (dyld3::MachOFile::SectionInfo const&, bool, bool&) block_pointer) const
1.00 ms    0.0%	0 s	 	         dyld3::MachOFile::forEachLoadCommand(Diagnostics&, void (load_command const*, bool&) block_pointer) const
1.00 ms    0.0%	0 s	 	          invocation function for block in dyld3::MachOFile::forEachSection(void (dyld3::MachOFile::SectionInfo const&, bool, bool&) block_pointer) const
1.00 ms    0.0%	0 s	 	           invocation function for block in dyld3::MachOAnalyzer::forEachInitializer(Diagnostics&, dyld3::MachOAnalyzer::VMAddrConverter const&, void (unsigned int) block_pointer, void const*) const
1.00 ms    0.0%	0 s	 	            invocation function for block in dyld4::Loader::findAndRunAllInitializers(dyld4::RuntimeState&) const::$_0::operator()() const
1.00 ms    0.0%	0 s	 	             libSystem_initializer
1.00 ms    0.0%	0 s	 	              __libplatform_init
1.00 ms    0.0%	0 s	 	               _simple_asl_init
1.00 ms    0.0%	0 s	 	                _os_alloc_once
1.00 ms    0.0%	0 s	 	                 _os_once_callout
1.00 ms    0.0%	0 s	 	                  _os_alloc
1.00 ms    0.0%	1.00 ms	 	                   DYLD-STUB$$mach_vm_map
1.00 ms    0.0%	0 s	 	  0x104d05bf0
1.00 ms    0.0%	0 s	 	   0x104d2cb24
1.00 ms    0.0%	1.00 ms	 	    0x104d77cd1


